DocID,DocName,HeaderText,HeaderID,headerType,ChairCeoFlag,HeaderPage,ActualPage,EndPage,reportYear,wordCount,flesch,fog,PageNumberExist,Front_1,Rear_1,Front_2,Rear_2,FileNameFlag,reportNumOfPages,performanceFlag,strategyFlag,sectionNumberPages,forwardLooking,LMnegativity,LMpositivity,HenryNeg2006,HenryPos2006,HenryNeg2008,HenryPos2008,uncertainty,causal,Causal_Martin,performance,userKeywords,bookletFlag,No TOC,PI Used?
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","About Ai Claims Solutions",1,0,0,2,4,5,,641,35.705721538461574,21.455384615384617,,1,0,1,0,0,52,0,0,2,5,37,20,0,12,0,12,24,4,2,7,4,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Why our ethical business model is a recipe for success",2,0,0,4,6,7,,302,13.00128027681663,27.448541769649037,,1,0,1,0,0,52,1,1,2,2,13,22,6,12,6,12,25,4,4,6,4,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Questions and answers",3,0,0,6,8,9,,923,60.97438803512625,14.537423823763204,,1,0,1,0,0,52,0,0,2,13,14,32,2,15,2,14,42,9,4,2,9,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","How have we performed?",4,0,0,8,10,11,,405,52.303000000000026,15.600000000000001,,1,0,1,0,0,52,0,0,2,1,11,8,2,7,2,7,15,2,1,15,2,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Chairman's Statement",5,1,0,10,12,13,,1506,45.985842411038504,20.077269426289035,,1,0,1,0,0,52,0,0,2,17,20,65,3,53,3,52,75,28,17,26,28,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Chief Executive's Review",6,2,0,12,14,18,,2259,47.086148674401244,19.344586566655995,,1,0,1,0,0,52,1,0,5,30,43,96,6,75,6,73,112,21,12,16,21,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Finance Director's Review",7,6,0,17,19,19,,1101,51.025645400593476,18.491083792567476,,1,0,1,0,0,52,1,0,1,7,18,31,8,27,8,26,44,33,27,26,33,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Board of Directors",8,0,0,18,20,20,,690,37.18097317073173,21.715512195121953,,1,0,1,0,0,52,0,0,1,1,5,12,0,8,0,8,12,3,0,1,3,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Executive Management",9,0,0,19,21,21,,448,41.1106068735499,20.334164733178653,,1,0,1,0,0,52,0,0,1,1,15,5,0,5,0,5,4,4,1,3,4,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Remuneration Report",10,4,0,20,22,22,,549,35.99986622073581,20.658862876254183,,1,0,1,0,0,52,0,0,1,6,4,14,3,11,3,11,21,7,1,3,7,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Report of the Directors",11,0,0,21,23,24,,1390,43.4039381822798,23.10643745693251,,1,0,1,0,0,52,0,0,2,14,31,11,8,8,8,8,24,16,3,6,16,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Report of the Independent Auditor to the Members of Ai Claims Solutions PLC",12,9,0,23,25,25,,725,37.67094915254239,24.498983050847457,,0,1,0,1,0,52,0,0,1,2,14,2,1,0,1,0,10,3,1,4,3,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Consolidated Statement of Total Recognised Gains and Losses_Consolidated Profit and Loss Account_CONCAT",13,0,0,24,26,26,,170,-68.79086956521738,56.78260869565218,Yes,0,1,0,1,0,52,0,0,1,0,5,1,0,0,0,0,3,1,1,16,1,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Consolidated Balance Sheet",14,0,0,25,27,27,,161,25.15295950155766,22.86479750778816,,0,1,0,1,0,52,0,0,1,0,6,1,3,1,3,1,1,0,0,2,0,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Company Balance Sheet",15,0,0,26,28,28,,156,29.77636363636364,21.280808080808082,,0,1,0,1,0,52,0,0,1,0,6,1,3,1,3,1,1,0,0,2,0,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Consolidated Cash Flow Statement_Reconciliation of Net Cash Flow to Movement in Net Debt_CONCAT",16,0,0,27,29,29,,211,-79.67110389610386,69.3922077922078,Yes,0,1,0,1,0,52,0,0,1,0,5,2,1,2,1,2,2,1,0,0,1,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Notes to the Financial Statements",17,0,0,28,30,44,,5424,41.28302456734684,22.517068650512286,,0,1,0,1,0,52,0,0,15,33,120,51,40,40,40,40,86,67,16,87,67,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Five Year Summary",18,0,0,43,45,45,,188,32.0614249363868,26.321628498727733,,0,1,0,1,0,52,0,0,1,0,12,2,2,0,2,0,4,3,2,13,3,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Notice of Annual General Meeting",19,0,0,44,46,47,,2165,38.76843256296833,26.948614245734404,,0,1,0,1,0,52,0,0,2,51,35,18,14,13,13,13,39,24,7,2,24,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Officers and Professional Advisers",20,0,0,46,48,52,,367,-8.618307692307667,38.165128205128205,,0,1,0,1,0,52,0,0,5,0,12,3,0,2,0,2,4,0,0,0,0,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Financial Summary",21,0,0,1,3,3,,159,37.94158119658124,16.54700854700855,,1,0,0,1,0,60,0,0,1,3,2,5,0,5,0,5,7,5,0,4,5,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Chairman's Statement",22,1,0,2,4,7,,1338,34.83886199357488,21.299595454815876,,1,0,1,0,0,60,0,0,4,14,8,39,5,30,4,30,48,14,13,3,14,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Operational Review",23,7,0,6,8,11,,1873,45.19906958215299,18.25276203966006,,1,0,1,0,0,60,1,0,4,42,11,54,6,49,6,49,66,22,14,14,22,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Financial Review",24,6,0,10,12,14,,1585,53.613627510651284,19.245147764928653,,1,0,1,0,0,60,1,0,3,20,25,23,7,19,7,19,35,26,28,40,26,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Principal Advisors & Management",25,0,0,13,15,15,,762,28.984911465802128,20.02264480329198,,1,0,1,0,0,60,1,0,1,1,1,8,0,5,0,4,9,0,2,3,0,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Board of Directors",26,0,0,14,16,16,,448,31.29138655462188,22.739495798319332,,1,0,1,0,0,60,0,0,1,1,0,3,0,1,0,1,5,2,1,2,2,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Directors' Report",27,0,0,15,17,19,,1610,40.153554392225004,21.285675383820838,,1,0,1,0,0,60,0,0,3,11,25,24,9,17,9,17,31,14,19,6,14,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Statement of Directors' Responsibilities",28,0,0,18,20,20,,299,47.84618988520015,20.210859447719514,,1,0,0,1,0,60,0,0,1,4,8,3,0,1,0,1,8,3,0,2,3,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Independent Auditors' Report to the Members",29,9,0,19,21,21,,753,33.13692176870751,26.510204081632658,,0,1,0,1,0,60,0,0,1,3,13,2,2,0,2,0,11,8,3,4,8,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Corporate Governance Report",30,3,0,20,22,27,,3950,43.382293529624775,20.723796515704993,,0,1,1,0,0,60,0,0,6,20,62,41,32,25,31,24,96,59,14,11,59,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Directors' Report on Remuneration",31,4,0,26,28,33,,3100,40.15794881877625,22.035535405872196,,0,1,1,0,0,60,0,0,6,49,35,53,16,40,16,40,68,44,7,8,44,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Consolidated Profit and Loss Account",32,0,0,32,34,34,,140,-83.59874999999997,54.23333333333333,,0,1,0,1,0,60,0,0,1,0,9,5,0,0,0,0,8,0,0,21,0,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Consolidated Balance Sheet",33,0,0,33,35,35,,157,17.543115942029004,20.962318840579712,,0,1,0,1,0,60,0,0,1,0,5,2,3,2,3,2,2,0,0,2,0,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Consolidated Cash Flow Statement",34,0,0,34,36,36,,230,-134.12486033519548,84.11396648044693,,0,1,0,1,0,60,0,0,1,0,4,2,4,2,4,2,6,1,1,0,1,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Reconciliation of Movements in Group Shareholders' Funds_Statement of Group Total Recognised Gains and Losses_CONCAT",35,0,0,35,37,37,,159,-62.06042372881353,58.38644067796611,Yes,0,1,0,1,0,60,0,0,1,0,6,5,0,2,0,2,8,1,1,9,1,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Company Balance Sheet",36,0,0,36,38,38,,167,29.892216981132094,19.279245283018867,,0,1,0,1,0,60,0,0,1,0,6,2,3,2,3,2,2,0,0,4,0,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Notes to the Financial Statements",37,0,0,37,39,56,,4853,27.121603466955577,23.586939141480183,,0,1,0,1,0,60,0,0,18,20,106,46,35,28,35,28,96,50,21,124,50,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Five Y ear Record",38,0,0,55,57,57,,196,-54.517499999999984,48.400000000000006,,0,1,0,1,0,60,0,0,1,0,7,4,1,2,1,2,4,0,0,11,0,0,0,0
2,"BIOCOMPATIBLES INTERNATIONAL PLC  REPORT AND ACCOUNTS 2004.pdf","Advisors and Investment Information",39,0,0,56,58,60,,313,25.655311711011876,19.432200427267432,,0,1,0,1,0,60,0,0,3,0,1,2,1,0,1,0,4,3,0,3,3,0,0,0
3,"hartford group plc  report and accounts 2005.pdf","Directors and Company Information",40,0,0,3,3,3,,126,59.409275862068995,16.019310344827588,,1,0,0,1,0,40,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","Chairmans Statement",41,1,0,4,4,8,,2599,54.15395040940308,18.979424194400423,,1,0,1,0,0,40,0,0,5,41,26,107,11,89,11,83,118,44,53,65,44,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","Report of the Directors",42,0,0,9,9,10,,535,47.06819164955513,23.50001368925394,,1,0,1,0,0,40,0,0,2,2,12,4,2,2,2,2,6,1,0,5,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","Corporate Governance",43,3,0,11,11,15,,2202,47.59056465971443,20.226609290567723,,1,0,1,0,0,40,0,0,5,18,25,13,16,9,16,9,33,28,7,4,28,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","Report of the Independent Auditors",44,9,0,16,16,17,,749,43.07522706630337,23.735720773322953,,0,1,0,1,0,40,0,0,2,4,13,2,3,0,3,0,14,9,3,3,9,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","Principal Accounting Policies",45,0,0,18,18,19,,756,51.57392335115867,18.58295900178253,,0,1,0,1,0,40,0,0,2,9,16,4,10,3,10,3,19,9,2,24,9,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","Consolidated Profit and Loss Account",46,0,0,20,20,20,,157,-19.477894736842075,37.1859649122807,,0,1,0,1,0,40,0,0,1,0,7,2,0,0,0,0,2,0,0,24,0,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","Consolidated Balance Sheet",47,0,0,21,21,21,,179,22.812368421052668,24.673684210526318,,0,1,0,1,0,40,0,0,1,0,4,2,3,2,3,2,2,0,0,2,0,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","Company Balance Sheet",48,0,0,22,22,22,,157,31.301855345911974,23.56729559748428,,0,1,0,1,0,40,0,0,1,0,4,2,3,2,3,2,1,0,0,2,0,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","Consolidated Cash Flow Statement",49,0,0,23,23,23,,172,-85.27428571428567,65.23007518796992,,0,1,0,1,0,40,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","Notes to the Financial Statements",50,0,0,24,24,24,,261,25.05117718446604,23.503883495145633,,0,1,0,1,0,40,0,0,1,0,3,2,0,1,0,1,4,3,2,16,3,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","1 Turnover and (loss)/profit on ordinary activities before taxation",51,0,0,24,24,24,,261,25.05117718446604,23.503883495145633,,0,1,0,1,0,40,0,0,1,0,3,2,0,1,0,1,4,3,2,16,3,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","2 Interest payable and similar charges",52,0,0,24,24,24,,261,25.05117718446604,23.503883495145633,,0,1,0,1,0,40,0,0,1,0,3,2,0,1,0,1,4,3,2,16,3,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","3 Directors and employees",53,0,0,24,24,25,,426,29.28445124938756,22.27300342969133,,0,1,0,1,0,40,0,0,2,0,5,5,1,3,1,3,7,4,2,16,4,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","4 Tax on (loss)/profit on ordinary activities",54,0,0,26,26,26,,259,51.16266149870802,19.043927648578812,,0,1,0,1,0,40,0,0,1,2,11,2,1,1,1,1,3,6,0,19,6,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","5 Loss for the financial period",55,0,0,26,26,26,,259,51.16266149870802,19.043927648578812,,0,1,0,1,0,40,0,0,1,2,11,2,1,1,1,1,3,6,0,19,6,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","6 Dividends",56,0,0,26,26,26,,259,51.16266149870802,19.043927648578812,,0,1,0,1,0,40,0,0,1,2,11,2,1,1,1,1,3,6,0,19,6,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","7 Earnings per share",57,0,0,27,27,27,,311,37.54093750000004,22.64375,,0,1,0,1,0,40,0,0,1,0,0,2,0,2,0,2,7,11,4,15,11,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","8 Intangible fixed assets Group",58,0,0,27,27,27,,311,37.54093750000004,22.64375,,0,1,0,1,0,40,0,0,1,0,0,2,0,2,0,2,7,11,4,15,11,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","9 Tangible fixed assets Group",59,0,0,28,28,28,,112,-8.637307692307672,36.18461538461539,,0,1,0,1,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","10 Fixed asset investments Company",60,0,0,29,29,29,,175,-45.87112068965516,48.03448275862069,,0,1,0,1,0,40,0,0,1,0,0,4,0,0,0,0,5,0,0,1,0,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","11 Stocks",61,0,0,29,29,29,,175,-45.87112068965516,48.03448275862069,,0,1,0,1,0,40,0,0,1,0,0,4,0,0,0,0,5,0,0,1,0,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","12 Debtors",62,0,0,30,30,30,,237,53.432000000000016,17.73333333333333,,0,1,0,1,0,40,0,0,1,0,4,1,4,1,4,1,1,0,0,1,0,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","13 Creditors: amounts falling due within one year",63,0,0,30,30,30,,237,53.432000000000016,17.73333333333333,,0,1,0,1,0,40,0,0,1,0,4,1,4,1,4,1,1,0,0,1,0,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","14 Creditors: amounts falling due after more than one year",64,0,0,30,30,30,,237,53.432000000000016,17.73333333333333,,0,1,0,1,0,40,0,0,1,0,4,1,4,1,4,1,1,0,0,1,0,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","15 Share capital",65,0,0,31,31,31,,236,-14.895714285714263,36.628571428571426,,0,1,0,1,0,40,0,0,1,3,7,1,0,0,0,0,5,1,0,6,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","16 Share options",66,0,0,31,31,31,,236,-14.895714285714263,36.628571428571426,,0,1,0,1,0,40,0,0,1,3,7,1,0,0,0,0,5,1,0,6,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","17 Reserves",67,0,0,31,31,31,,236,-14.895714285714263,36.628571428571426,,0,1,0,1,0,40,0,0,1,3,7,1,0,0,0,0,5,1,0,6,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","18 Reconciliation of movements in shareholders funds",68,0,0,32,32,32,,155,-50.02884615384612,51.21538461538462,,0,1,0,1,0,40,0,0,1,0,4,4,1,4,1,4,5,1,0,3,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","19 Net cash inflow from operating activities",69,0,0,32,32,32,,155,-50.02884615384612,51.21538461538462,,0,1,0,1,0,40,0,0,1,0,4,4,1,4,1,4,5,1,0,3,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","20 Reconciliation of net cash flow to movement in debt",70,0,0,32,32,32,,155,-50.02884615384612,51.21538461538462,,0,1,0,1,0,40,0,0,1,0,4,4,1,4,1,4,5,1,0,3,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","21 Analysis of changes in net debt",71,0,0,33,33,33,,138,26.77997252747255,25.672527472527477,,0,1,0,1,0,40,0,0,1,0,0,1,0,1,0,1,5,1,0,0,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","22 Capital commitments",72,0,0,33,33,33,,138,26.77997252747255,25.672527472527477,,0,1,0,1,0,40,0,0,1,0,0,1,0,1,0,1,5,1,0,0,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","23 Contingent liabilities",73,0,0,33,33,33,,138,26.77997252747255,25.672527472527477,,0,1,0,1,0,40,0,0,1,0,0,1,0,1,0,1,5,1,0,0,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","24 Leasing commitments",74,0,0,33,33,33,,138,26.77997252747255,25.672527472527477,,0,1,0,1,0,40,0,0,1,0,0,1,0,1,0,1,5,1,0,0,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","25 Financial instruments",75,0,0,34,34,34,,290,59.45807692307696,17.582417582417584,,0,1,0,1,0,40,0,0,1,1,6,6,5,3,5,3,10,1,2,1,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","26 Transactions with related parties",76,0,0,34,34,34,,290,59.45807692307696,17.582417582417584,,0,1,0,1,0,40,0,0,1,1,6,6,5,3,5,3,10,1,2,1,1,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","27 Acquisition",77,0,0,35,35,36,,362,54.439993773349954,19.385305105853053,,0,1,0,1,0,40,0,0,2,0,3,2,0,2,0,2,4,3,1,5,3,0,0,1
3,"hartford group plc  report and accounts 2005.pdf","Hartford Group Sites",78,0,0,37,37,40,,255,-24.964285714285694,41.457142857142856,,0,1,0,1,0,40,0,0,4,0,2,3,0,3,0,3,3,0,0,0,0,0,0,1
